feature,mean_importance
BloodPressure,-0.0019511615858574416
Insulin,-0.001272183844903485
DiabetesPedigreeFunction,-0.0011943431608179012
SkinThickness,0.0004518474836389563
Pregnancies,0.024928417637434842
Age,0.025617596401468334
BMI,0.05703458139797294
Glucose,0.20676215626697098
