feature,mean_importance
SkinThickness,-0.0026894673106882317
Insulin,0.003796694978872428
DiabetesPedigreeFunction,0.005987604913990374
Age,0.006075709566774656
BloodPressure,0.009276334458131929
Pregnancies,0.04202200080548418
BMI,0.05276065207972206
Glucose,0.2298395642248654
