feature,mean_importance
Insulin,0.040358792460928286
Age,0.04376128487986582
BloodPressure,0.08037622446549819
DiabetesPedigreeFunction,0.09896332825064338
Pregnancies,0.1211736683689931
SkinThickness,0.1590199278256991
BMI,0.22200957719964295
Glucose,0.7241400489105179
